call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,7034,27,41,1.3953,75.8600,80.0662,72.8630,61.5244,83.0644,9.7487,,0.2182,82,8
2,Exploit,4025,19,28,1.0006,74.5541,78.6852,72.5577,57.3827,83.2124,9.8215,,0.2401,82,9
3,Exploit,1426,69,12,1.5830,75.3654,79.5574,74.2198,59.7704,82.8143,8.5195,,0.0692,82,14
4,Exploit,8252,10,50,1.4262,76.1508,80.3712,72.8290,62.6362,82.7358,9.9553,,0.3413,82,8
5,Exploit,5447,11,11,1.2872,76.0149,80.2315,73.4735,62.9890,81.2498,9.6184,,0.2689,82,10
6,Exploit,3630,14,49,0.8492,73.6283,77.7058,69.8779,56.6591,83.0553,9.8996,,0.2906,82,7
7,Exploit,977,66,25,1.9748,74.3769,78.5008,72.1167,57.4459,83.0532,9.5618,,0.0594,82,9
8,Exploit,4204,87,37,1.1757,72.8082,76.8376,68.5210,55.7352,82.1119,10.0254,,0.0789,82,7
9,Exploit,314,95,33,1.0781,72.9988,77.0156,64.2809,61.0645,78.8954,12.0846,,0.0162,82,5
10,Exploit,337,31,20,1.5249,73.4201,77.4878,69.7761,59.9606,77.8454,9.7174,,0.0809,82,9
11,Exploit,7954,11,44,1.3976,76.4069,80.6443,73.1682,63.1170,83.0438,9.7487,,0.3125,82,8
12,Exploit,7867,11,38,1.3890,74.4742,78.6020,73.2700,59.1850,79.6429,9.7075,,0.3647,82,9
13,Exploit,7939,12,44,1.4121,76.2491,80.4788,73.0665,62.7691,83.0220,9.6274,,0.2866,82,8
14,Exploit,2093,88,46,1.3952,72.6626,76.6777,68.2497,55.5577,81.5379,10.5493,,0.0749,82,6
15,Exploit,8779,10,47,1.2720,76.3472,80.5765,73.0326,62.7115,83.0976,10.1619,,0.3788,82,8
16,Exploit,8779,100,45,2.0000,74.1348,78.2396,69.1655,59.0778,82.6480,10.0382,,0.0802,82,7
17,Exploit,8075,14,46,1.4308,76.3811,80.6147,72.9647,62.8086,83.3832,9.9553,,0.2711,82,8
18,Exploit,8050,16,45,0.5749,73.2241,77.2708,68.7585,54.6948,84.8267,10.5842,,0.3653,82,7
19,Exploit,8340,12,46,1.3636,76.3833,80.6170,73.1343,62.8373,83.1616,9.9553,,0.2902,82,8
20,Exploit,8190,11,46,1.3629,76.1778,80.4012,72.7612,62.6333,83.0460,9.8340,,0.3486,82,8
21,Exploit,8779,18,45,1.3974,76.5192,80.7629,73.0326,63.6056,83.0580,9.7487,,0.2450,82,8
22,Exploit,8779,22,45,1.3891,75.7837,79.9834,72.0488,61.3704,83.6911,9.9417,,0.2383,82,8
23,Exploit,985,10,46,1.4942,74.6531,78.7910,71.6418,59.5053,81.8021,9.7239,,0.2073,82,8
24,Exploit,8779,13,46,1.4696,76.2880,80.5197,73.0326,62.8039,83.1664,9.6522,,0.2944,82,8
25,Exploit,8779,10,10,1.0097,76.2858,80.5192,73.3039,65.4612,79.6215,9.4933,,0.3103,82,9
26,Exploit,5119,10,10,0.8697,75.5306,79.7263,72.8290,63.4177,79.8199,9.0244,,0.2855,82,10
27,Exploit,8779,10,10,1.2632,76.2194,80.4452,73.3039,64.8893,79.7555,9.8201,,0.3272,82,9
28,Exploit,8779,19,10,1.1305,77.3760,81.6682,74.1859,65.7051,82.8359,9.7706,,0.2118,82,10
29,Exploit,8779,22,10,1.1156,77.9130,82.2382,74.3555,67.9013,82.4594,9.5592,,0.1955,82,11
30,Exploit,8779,27,10,1.0922,78.1111,82.4486,74.6947,67.1044,84.0069,9.4710,,0.1699,82,11
1,BO-EI,7034,27,41,1.3953,75.8600,80.0662,72.8630,61.5244,83.0644,9.7487,,0.2182,82,8
2,BO-EI,4025,19,28,1.0006,74.5541,78.6852,72.5577,57.3827,83.2124,9.8215,,0.2401,82,9
3,BO-EI,1426,69,12,1.5830,75.3654,79.5574,74.2198,59.7704,82.8143,8.5195,,0.0692,82,14
4,BO-EI,8252,10,50,1.4262,76.1508,80.3712,72.8290,62.6362,82.7358,9.9553,,0.3413,82,8
5,BO-EI,5447,11,11,1.2872,76.0149,80.2315,73.4735,62.9890,81.2498,9.6184,,0.2689,82,10
6,BO-EI,3630,14,49,0.8492,73.6283,77.7058,69.8779,56.6591,83.0553,9.8996,,0.2906,82,7
7,BO-EI,977,66,25,1.9748,74.3769,78.5008,72.1167,57.4459,83.0532,9.5618,,0.0594,82,9
8,BO-EI,4204,87,37,1.1757,72.8082,76.8376,68.5210,55.7352,82.1119,10.0254,,0.0789,82,7
9,BO-EI,314,95,33,1.0781,72.9988,77.0156,64.2809,61.0645,78.8954,12.0846,,0.0162,82,5
10,BO-EI,337,31,20,1.5249,73.4201,77.4878,69.7761,59.9606,77.8454,9.7174,,0.0809,82,9
11,BO-EI,8677,15,25,1.3051,77.2142,81.4948,73.5075,64.3703,84.4130,9.9832,,0.2449,82,9
12,BO-EI,8779,27,10,2.0000,78.1245,82.4600,75.4749,66.0273,84.3445,9.7072,,0.1700,82,14
13,BO-EI,8779,42,10,0.5000,75.3217,79.4942,72.1506,57.1102,87.5004,10.0246,,0.1498,82,10
14,BO-EI,8779,10,10,2.0000,76.5528,80.8003,72.9308,66.2986,80.0848,9.5791,,0.2494,82,9
15,BO-EI,8779,100,10,2.0000,75.7644,79.9716,72.6594,59.6919,85.9367,9.1817,,0.0387,82,14
16,BO-EI,8779,10,30,2.0000,76.4365,80.6748,73.3379,65.2018,80.2728,9.8153,,0.3066,82,9
17,BO-EI,8779,42,10,2.0000,77.4394,81.7428,75.0678,65.2629,83.2788,9.1062,,0.1209,82,13
18,BO-EI,8779,39,10,1.6471,77.9027,82.2312,75.1018,66.3338,83.8182,9.2250,,0.1237,82,13
19,BO-EI,8779,29,10,1.6807,77.6085,81.9184,75.0678,65.3750,83.6326,9.3885,,0.1533,82,13
20,BO-EI,8779,51,10,2.0000,76.7923,81.0569,74.5590,63.1322,83.5887,9.2844,,0.1034,82,13
21,BO-EI,8779,32,21,2.0000,77.4980,81.7994,74.3216,64.7514,84.6200,9.5772,,0.1363,82,10
22,BO-EI,8779,10,10,0.5000,76.0491,80.2601,70.9294,62.6159,84.2231,10.2743,,0.3428,82,7
23,BO-EI,8779,28,10,1.6184,77.6113,81.9220,75.3392,65.2919,83.5019,9.3291,,0.1742,82,13
24,BO-EI,7130,32,10,2.0000,78.6379,83.0094,75.7463,67.3152,85.1971,9.1224,,0.1351,82,13
25,BO-EI,6399,35,10,2.0000,77.5858,81.8993,75.6784,64.8413,83.9216,8.9573,,0.1294,82,14
26,BO-EI,8779,100,10,0.5000,71.8392,75.8091,69.0299,49.5802,86.3313,10.4085,,0.1360,82,9
27,BO-EI,200,100,10,2.0000,73.2464,77.2992,63.7381,64.8025,77.7025,10.1589,,-0.0160,82,9
28,BO-EI,6825,26,10,2.0000,78.9627,83.3578,76.5604,68.5608,84.5666,8.6669,,0.1547,82,15
29,BO-EI,6236,21,10,2.0000,77.9603,82.2900,75.1357,66.9906,83.0559,9.4018,,0.1618,82,12
30,BO-EI,8779,73,50,2.0000,74.4704,78.5943,69.6744,59.3229,83.2366,10.0382,,0.0955,82,7
1,Explore,7034,27,41,1.3953,75.8600,80.0662,72.8630,61.5244,83.0644,9.7487,,0.2182,82,8
2,Explore,4025,19,28,1.0006,74.5541,78.6852,72.5577,57.3827,83.2124,9.8215,,0.2401,82,9
3,Explore,1426,69,12,1.5830,75.3654,79.5574,74.2198,59.7704,82.8143,8.5195,,0.0692,82,14
4,Explore,8252,10,50,1.4262,76.1508,80.3712,72.8290,62.6362,82.7358,9.9553,,0.3413,82,8
5,Explore,5447,11,11,1.2872,76.0149,80.2315,73.4735,62.9890,81.2498,9.6184,,0.2689,82,10
