,ctpt_consensus_prediction,Cluster_ID,Marker_Match_1,Marker_Match_1_F1 (%),Marker_Match_2,Marker_Match_2_F1 (%),Marker_Match_3,Marker_Match_3_F1 (%)
0,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
1,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
2,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
3,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
4,L6 OPRK1 THEMIS RGS6,L6 OPRK1 THEMIS RGS6,Cajal-retzius cells,6.25,Purkinje neurons,3.669724770642202,Somatostatin interneuron,3.6363636363636362
5,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
6,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
7,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
8,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
9,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
10,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
11,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
12,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
13,L6 OPRK1 THEMIS RGS6,L6 OPRK1 THEMIS RGS6,Cajal-retzius cells,6.25,Purkinje neurons,3.669724770642202,Somatostatin interneuron,3.6363636363636362
14,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
15,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
16,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
17,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
18,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
19,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
20,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
21,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
22,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
23,Astro AQP4 SLC1A2,Astro AQP4 SLC1A2,Astrocyte,9.266409266409266,Bergmann glia,6.593406593406592,Astrocytes,5.309734513274336
24,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
25,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
26,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
27,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
28,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
29,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
30,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,10.762331838565023,Pyramidal cells,9.411764705882355,Excitatory neuron,8.823529411764705
31,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
32,PC P2RY14 GRM8,PC P2RY14 GRM8,Endothelial cell,5.128205128205128,Lake et al.science.ex6,4.761904761904763,Astrocytes,3.5398230088495577
