Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
T SKAP1 CD247,10,10,100.0
OPC PDGFRA PCDH15,25,25,100.0
Micro P2RY12 APBB1IP,51,50,98.03921568627452
Astro AQP4 SLC1A2,106,71,66.98113207547169
Oligo MOG OPALIN,636,424,66.66666666666667
Endo CLDN5 SLC7A5,799,531,66.45807259073842
PC P2RY14 GRM8,56,31,55.357142857142854
L6 OPRK1 THEMIS RGS6,102,33,32.35294117647059
InN SST STK32A,45,8,17.77777777777778
