Cluster_ID,Assigned_Cell_Type,Precision (%),Recall (%),F1_Score (%),Jaccard (%),True_Positive_Count,Predicted_Marker_Count,Reference_Marker_Count,Assigned_Cell_Type_2,Precision_2 (%),Recall_2 (%),F1_Score_2 (%),Jaccard_2 (%),True_Positive_Count_2,Predicted_Marker_Count_2,Reference_Marker_Count_2,Assigned_Cell_Type_3,Precision_3 (%),Recall_3 (%),F1_Score_3 (%),Jaccard_3 (%),True_Positive_Count_3,Predicted_Marker_Count_3,Reference_Marker_Count_3
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,14.000000000000002,53.84615384615385,22.22222222222222,12.5,7,50,13,Oligodendrocyte progenitor cells,12.0,21.428571428571427,15.384615384615383,8.333333333333332,6,50,28,Oligodendrocyte,32.0,8.743169398907105,13.733905579399142,7.373271889400922,16,50,183
InN SST STK32A,Purkinje neurons,12.0,10.16949152542373,11.009174311926607,5.825242718446602,6,50,59,Bergmann glia,6.0,7.317073170731707,6.593406593406592,3.4090909090909087,3,50,41,Neuron,12.0,3.4682080924855487,5.381165919282512,2.7649769585253456,6,50,173
Endo CLDN5 SLC7A5,Neuron,24.0,6.9364161849710975,10.762331838565023,5.687203791469194,12,50,173,Pyramidal cells,8.0,11.428571428571429,9.411764705882355,4.938271604938271,4,50,35,Excitatory neuron,6.0,16.666666666666664,8.823529411764705,4.615384615384616,3,50,18
Micro P2RY12 APBB1IP,Microglia,12.0,8.450704225352112,9.917355371900827,5.217391304347826,6,50,71,Lake et al.science.ex8,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59,Microglial-specific cell,2.0,50.0,3.8461538461538463,1.9607843137254901,1,50,2
Astro AQP4 SLC1A2,Astrocyte,24.0,5.741626794258373,9.266409266409266,4.8582995951417,12,50,209,Bergmann glia,6.0,7.317073170731707,6.593406593406592,3.4090909090909087,3,50,41,Astrocytes,6.0,4.761904761904762,5.309734513274336,2.727272727272727,3,50,63
Oligo MOG OPALIN,Oligodendrocyte,18.0,4.918032786885246,7.725321888412016,4.017857142857143,9,50,183,Mature oligodendrocyte,4.0,40.0,7.2727272727272725,3.7735849056603774,2,50,5,Oligodendrocytes,10.0,5.681818181818182,7.246376811594203,3.7593984962406015,5,50,88
T SKAP1 CD247,Lymphocyte,4.0,20.0,6.666666666666667,3.4482758620689653,2,50,10,Endothelial cell,4.0,7.142857142857142,5.128205128205128,2.631578947368421,2,50,28,Microglia,6.0,4.225352112676056,4.958677685950414,2.5423728813559325,3,50,71
L6 OPRK1 THEMIS RGS6,Cajal-retzius cells,8.0,5.128205128205128,6.25,3.225806451612903,4,50,78,Purkinje neurons,4.0,3.389830508474576,3.669724770642202,1.8691588785046727,2,50,59,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5
PC P2RY14 GRM8,Endothelial cell,4.0,7.142857142857142,5.128205128205128,2.631578947368421,2,50,28,Lake et al.science.ex6,4.0,5.88235294117647,4.761904761904763,2.4390243902439024,2,50,34,Astrocytes,4.0,3.1746031746031744,3.5398230088495577,1.8018018018018018,2,50,63
