Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
11,T SKAP1 CD247,10,10,100.0
10,OPC PDGFRA PCDH15,25,25,100.0
8,Micro P2RY12 APBB1IP,51,50,98.03921568627452
2,Oligo MOG OPALIN,122,115,94.26229508196721
3,Endo CLDN5 SLC7A5,117,96,82.05128205128206
6,Endo CLDN5 SLC7A5,91,62,68.13186813186813
4,Astro AQP4 SLC1A2,106,71,66.98113207547169
0,Endo CLDN5 SLC7A5,591,373,63.11336717428088
1,Oligo MOG OPALIN,514,309,60.11673151750973
7,PC P2RY14 GRM8,56,31,55.357142857142854
5,L6 OPRK1 THEMIS RGS6,102,33,32.35294117647059
9,InN SST STK32A,45,8,17.77777777777778
