call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,5618,27,41,1.3953,58.8689,70.9339,56.0364,54.7341,71.4059,12.6224,,0.0433,92,5
2,Exploit,3233,19,28,1.0006,59.9245,72.2406,56.3264,55.8892,75.5416,12.0409,,0.1003,92,5
3,Exploit,1172,69,12,1.5830,59.5546,71.8165,56.2435,52.5921,78.9925,11.4543,,0.0092,92,6
4,Exploit,6584,10,50,1.4262,57.6593,69.4471,55.3531,54.1188,66.6173,13.0482,,0.0921,92,4
5,Exploit,4360,11,11,1.2872,60.0059,72.3851,56.2642,56.2229,76.7291,10.9741,,0.0901,92,7
6,Exploit,2920,14,49,0.8492,58.9164,70.9558,55.9122,54.2160,71.6337,13.4614,,0.1220,92,4
7,Exploit,816,66,25,1.9748,58.8832,70.9447,55.9950,52.5570,74.3313,12.7768,,0.0065,92,5
8,Exploit,3375,87,37,1.1757,59.2305,71.4065,55.8915,54.2768,74.8860,11.8404,,0.0149,92,5
9,Exploit,290,95,33,1.0781,60.7937,73.2350,55.8708,57.1638,77.5356,13.4614,,-0.0016,92,4
10,Exploit,309,31,20,1.5249,61.0029,73.5487,55.8915,54.6777,83.7876,12.0674,,0.0165,92,5
11,Exploit,200,20,19,1.0390,61.0889,73.5779,55.7258,55.7604,80.9231,13.8237,,0.0142,92,4
12,Exploit,221,10,13,1.2964,60.0525,72.3351,55.3324,54.8104,77.5643,13.4614,,0.0379,92,4
13,Exploit,204,22,20,1.0428,60.4523,72.8683,56.0157,55.6987,78.7232,12.3475,,-0.0002,92,6
14,Exploit,200,100,17,0.5000,62.3804,75.1717,56.1607,60.6915,81.1799,13.2211,,0.0273,92,5
15,Exploit,200,100,10,0.5000,62.1555,74.9053,56.2021,59.3778,81.8430,13.0667,,0.0298,92,5
16,Exploit,5768,71,20,1.9777,59.3154,71.5745,55.8294,53.4193,78.2738,10.3246,,-0.0005,92,6
17,Exploit,3234,16,26,1.5286,58.9429,71.0785,56.2642,53.3728,74.6510,11.3459,,0.0604,92,6
18,Exploit,7002,100,10,0.5000,60.9911,73.5939,56.6370,57.2706,80.3874,10.6758,,0.0379,92,7
19,Exploit,1917,27,29,1.1573,58.3839,70.4289,56.2642,51.2573,75.4361,10.6665,,0.0499,92,8
20,Exploit,1090,48,48,1.2760,58.5590,70.5218,55.6844,53.1425,71.5315,13.4614,,0.0147,92,4
21,Exploit,4121,90,27,1.8446,59.0568,71.2030,55.9122,54.4524,73.8882,11.6688,,-0.0045,92,6
22,Exploit,3203,79,30,1.8066,59.5410,71.7892,55.8087,54.2485,76.8324,11.7066,,0.0008,92,5
23,Exploit,2154,81,44,1.1559,59.8989,72.1486,55.7465,56.7949,73.5051,13.4614,,0.0102,92,4
24,Exploit,5757,95,49,1.1491,58.8139,70.8136,55.7258,53.8590,71.4011,13.8746,,0.0117,92,4
25,Exploit,6682,96,31,0.6469,61.6949,74.3292,55.9950,59.3035,79.3075,13.4614,,0.0352,92,4
26,Exploit,5739,35,34,1.7145,59.2556,71.4512,55.9329,56.4665,72.3917,11.5099,,0.0294,92,5
27,Exploit,4142,52,18,1.6562,58.5312,70.5869,56.1400,52.7049,73.7874,11.1540,,0.0056,92,6
28,Exploit,6734,45,36,0.5825,60.8867,73.3479,56.0779,58.1693,76.4010,13.4614,,0.0815,92,4
29,Exploit,200,100,15,0.5000,62.0886,74.8175,56.1400,59.6939,80.9656,13.2211,,0.0281,92,5
30,Exploit,200,100,20,0.5000,62.7109,75.5796,56.1814,62.5618,80.6463,13.0667,,0.0308,92,5
1,BO-EI,5618,27,41,1.3953,58.8689,70.9339,56.0364,54.7341,71.4059,12.6224,,0.0433,92,5
2,BO-EI,3233,19,28,1.0006,59.9245,72.2406,56.3264,55.8892,75.5416,12.0409,,0.1003,92,5
3,BO-EI,1172,69,12,1.5830,59.5546,71.8165,56.2435,52.5921,78.9925,11.4543,,0.0092,92,6
4,BO-EI,6584,10,50,1.4262,57.6593,69.4471,55.3531,54.1188,66.6173,13.0482,,0.0921,92,4
5,BO-EI,4360,11,11,1.2872,60.0059,72.3851,56.2642,56.2229,76.7291,10.9741,,0.0901,92,7
6,BO-EI,2920,14,49,0.8492,58.9164,70.9558,55.9122,54.2160,71.6337,13.4614,,0.1220,92,4
7,BO-EI,816,66,25,1.9748,58.8832,70.9447,55.9950,52.5570,74.3313,12.7768,,0.0065,92,5
8,BO-EI,3375,87,37,1.1757,59.2305,71.4065,55.8915,54.2768,74.8860,11.8404,,0.0149,92,5
9,BO-EI,290,95,33,1.0781,60.7937,73.2350,55.8708,57.1638,77.5356,13.4614,,-0.0016,92,4
10,BO-EI,309,31,20,1.5249,61.0029,73.5487,55.8915,54.6777,83.7876,12.0674,,0.0165,92,5
11,BO-EI,200,58,15,0.8927,61.7128,74.3509,55.8501,57.0868,82.7015,13.4614,,0.0128,92,4
12,BO-EI,200,10,10,0.5000,60.2444,72.6222,55.6430,56.0568,77.7818,12.1977,,0.0618,92,5
13,BO-EI,200,100,10,1.0480,59.3936,71.5388,55.5809,55.5429,72.8459,13.3756,,0.0022,92,5
14,BO-EI,2181,57,14,1.4027,59.3995,71.6101,56.3264,53.8524,75.7483,11.8776,,0.0104,92,6
15,BO-EI,200,48,21,0.9147,61.4056,73.9779,55.9122,56.9245,81.1334,13.4614,,0.0204,92,4
16,BO-EI,200,51,10,0.7570,60.7274,73.2149,56.2435,58.1771,76.8098,12.0520,,0.0212,92,6
17,BO-EI,200,60,29,0.6244,61.4004,74.0010,55.9743,59.6221,78.0736,12.7768,,0.0292,92,5
18,BO-EI,200,96,50,0.5000,58.5637,70.5275,55.2910,53.2812,71.8772,13.4614,,0.0666,92,4
19,BO-EI,200,62,22,0.5000,62.0537,74.8008,56.2642,60.4942,80.1744,12.6224,,0.0480,92,5
20,BO-EI,200,10,22,0.5000,60.9052,73.4245,55.7672,57.8518,78.6986,12.1977,,0.0433,92,5
21,BO-EI,200,80,22,0.5000,59.0774,71.2143,55.4980,55.7760,72.4521,11.9875,,0.0480,92,5
22,BO-EI,251,59,28,0.5187,61.2011,73.7655,56.1814,58.3925,78.5181,12.6224,,0.0495,92,5
23,BO-EI,229,33,39,1.4515,59.7564,71.9756,55.6844,55.0736,75.1339,13.4614,,-0.0255,92,4
24,BO-EI,200,60,20,0.6623,61.1147,73.6540,56.0364,57.9763,78.6542,12.7768,,0.0299,92,5
25,BO-EI,200,47,26,0.5000,61.7330,74.3973,56.2435,60.0610,78.7031,12.9530,,0.0516,92,5
26,BO-EI,200,37,20,0.5000,61.8472,74.5369,56.2642,59.9811,79.4125,12.9313,,0.0290,92,5
27,BO-EI,200,44,22,0.5000,62.0424,74.7871,56.3264,60.9412,79.4381,12.6224,,0.0226,92,5
28,BO-EI,200,46,21,0.5000,61.7188,74.3875,56.2021,59.5471,79.5537,12.7768,,0.0439,92,5
29,BO-EI,200,40,30,0.5000,61.6328,74.2897,56.2435,60.0449,78.5426,12.6224,,0.0727,92,5
30,BO-EI,3216,45,20,0.5000,60.1066,72.5063,56.4713,55.2792,78.2719,10.9960,,0.0647,92,6
1,Explore,5618,27,41,1.3953,58.8689,70.9339,56.0364,54.7341,71.4059,12.6224,,0.0433,92,5
2,Explore,3233,19,28,1.0006,59.9245,72.2406,56.3264,55.8892,75.5416,12.0409,,0.1003,92,5
3,Explore,1172,69,12,1.5830,59.5546,71.8165,56.2435,52.5921,78.9925,11.4543,,0.0092,92,6
4,Explore,6584,10,50,1.4262,57.6593,69.4471,55.3531,54.1188,66.6173,13.0482,,0.0921,92,4
5,Explore,4360,11,11,1.2872,60.0059,72.3851,56.2642,56.2229,76.7291,10.9741,,0.0901,92,7
6,Explore,2920,14,49,0.8492,58.9164,70.9558,55.9122,54.2160,71.6337,13.4614,,0.1220,92,4
7,Explore,816,66,25,1.9748,58.8832,70.9447,55.9950,52.5570,74.3313,12.7768,,0.0065,92,5
8,Explore,3375,87,37,1.1757,59.2305,71.4065,55.8915,54.2768,74.8860,11.8404,,0.0149,92,5
9,Explore,290,95,33,1.0781,60.7937,73.2350,55.8708,57.1638,77.5356,13.4614,,-0.0016,92,4
10,Explore,309,31,20,1.5249,61.0029,73.5487,55.8915,54.6777,83.7876,12.0674,,0.0165,92,5
11,Explore,200,54,14,0.8608,60.2897,72.6967,55.9536,55.8075,78.4319,11.7419,,0.0093,92,6
12,Explore,200,97,25,0.5000,59.1396,71.2370,55.4773,55.0381,72.4990,13.2211,,0.0176,92,5
13,Explore,2299,41,19,1.5062,59.4893,71.7349,56.2642,53.7004,76.9220,11.5099,,0.0216,92,5
14,Explore,261,26,20,1.5382,59.8909,72.1616,56.0779,54.1566,77.1573,12.9313,,-0.0075,92,5
15,Explore,200,21,10,1.1632,60.8333,73.3132,55.8915,57.0552,78.6228,12.7578,,-0.0161,92,5
16,Explore,200,100,10,1.1702,59.2199,71.3412,55.6637,54.5769,73.4424,13.0667,,-0.0034,92,5
17,Explore,200,10,10,0.8271,61.5508,74.1902,56.2228,58.9611,79.5729,12.6224,,0.0345,92,5
18,Explore,200,10,10,0.5000,60.2444,72.6222,55.6430,56.0568,77.7818,12.1977,,0.0618,92,5
19,Explore,7002,10,10,0.5000,59.7499,72.0790,56.6577,55.1488,76.4305,10.8638,,0.1707,92,7
20,Explore,200,100,50,0.6740,58.8048,70.9453,54.9803,52.5495,77.7163,10.5411,,0.0262,92,3
21,Explore,7002,100,10,0.5064,60.9424,73.5349,56.5542,56.9347,80.7128,10.6758,,0.0381,92,7
22,Explore,356,69,27,1.6913,59.9433,72.2384,55.8915,55.8799,75.6265,12.6224,,-0.0210,92,5
23,Explore,7002,100,10,1.0695,58.3602,70.4532,56.3885,54.5119,71.9117,9.4266,,0.0070,92,9
24,Explore,200,10,21,1.0411,61.7413,74.4215,56.2228,59.1094,80.4030,12.6224,,0.0711,92,5
25,Explore,228,10,49,0.9608,58.7249,70.7232,55.3117,53.5054,72.3786,13.4614,,0.0554,92,4
26,Explore,200,10,19,1.0150,61.8295,74.5662,56.4506,58.2093,82.7779,11.7419,,0.0809,92,6
27,Explore,200,10,11,1.0680,61.3818,74.0123,56.4506,56.4278,82.5785,11.9835,,0.0891,92,6
28,Explore,200,10,20,0.8744,62.0677,74.8111,56.2228,60.6008,80.0012,12.7768,,0.0730,92,5
29,Explore,200,10,20,0.8743,60.9210,73.4578,56.2642,56.2245,80.7083,11.8706,,0.0783,92,6
30,Explore,200,100,50,2.0000,59.2030,71.4287,54.9803,55.2542,76.0102,10.5411,,-0.0201,92,3
