Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
OPC PDGFRA PCDH15,37,37,100.0
Oligo MOG OPALIN,144,127,88.19444444444444
Micro P2RY12 APBB1IP,49,42,85.71428571428571
Endo CLDN5 SLC7A5,2375,1578,66.4421052631579
Astro AQP4 SLC1A2,74,30,40.54054054054054
