Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
8,OPC PDGFRA PCDH15,37,37,100.0
2,Oligo MOG OPALIN,144,127,88.19444444444444
7,Micro P2RY12 APBB1IP,49,42,85.71428571428571
3,Endo CLDN5 SLC7A5,134,102,76.11940298507463
0,Endo CLDN5 SLC7A5,1850,1268,68.54054054054055
1,Endo CLDN5 SLC7A5,174,109,62.64367816091954
5,Endo CLDN5 SLC7A5,92,55,59.78260869565217
6,Astro AQP4 SLC1A2,74,30,40.54054054054054
4,Endo CLDN5 SLC7A5,125,44,35.2
