Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
Astro GFAP FABP7,53,53,100.0
OPC PDGFRA PCDH15,62,62,100.0
PC P2RY14 GRM8,92,89,96.73913043478261
Oligo MOG OPALIN,210,198,94.28571428571429
L3-5 RORB MKX DCC,24,21,87.5
Astro AQP4 SLC1A2,155,124,80.0
SMC ACTA2 CNN1,32,24,75.0
L3-5 RORB MKX GRIN3A,93,65,69.89247311827957
Micro P2RY12 CCL3,66,46,69.6969696969697
Endo CLDN5 SLC7A5,2123,1448,68.2053697597739
T SKAP1 CD247,19,9,47.36842105263158
L2-3 CUX2 NTNG1 PALMD,33,15,45.45454545454545
VLMC COL1A2 VLMCA8,47,13,27.659574468085108
InN LAMP5 BMP7,42,7,16.666666666666668
InN SST STK32A,54,9,16.666666666666668
