Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
17,PC P2RY14 GRM8,46,46,100.0
15,Astro GFAP FABP7,53,53,100.0
13,OPC PDGFRA PCDH15,62,62,100.0
6,Oligo MOG OPALIN,210,198,94.28571428571429
18,PC P2RY14 GRM8,46,43,93.47826086956522
25,L3-5 RORB MKX DCC,24,21,87.5
2,Endo CLDN5 SLC7A5,298,257,86.24161073825503
10,Endo CLDN5 SLC7A5,67,56,83.58208955223881
1,Endo CLDN5 SLC7A5,300,244,81.33333333333333
7,Astro AQP4 SLC1A2,155,124,80.0
21,SMC ACTA2 CNN1,32,24,75.0
9,Endo CLDN5 SLC7A5,74,55,74.32432432432432
12,Endo CLDN5 SLC7A5,63,46,73.01587301587301
8,L3-5 RORB MKX GRIN3A,93,65,69.89247311827957
11,Micro P2RY12 CCL3,66,46,69.6969696969697
5,Endo CLDN5 SLC7A5,225,153,68.0
4,Endo CLDN5 SLC7A5,258,175,67.82945736434108
22,Endo CLDN5 SLC7A5,31,20,64.51612903225806
24,Endo CLDN5 SLC7A5,25,16,64.0
0,Endo CLDN5 SLC7A5,476,303,63.65546218487395
23,Endo CLDN5 SLC7A5,27,16,59.25925925925926
26,T SKAP1 CD247,19,9,47.36842105263158
20,L2-3 CUX2 NTNG1 PALMD,33,15,45.45454545454545
3,Endo CLDN5 SLC7A5,279,107,38.35125448028674
16,VLMC COL1A2 VLMCA8,47,13,27.659574468085108
14,InN SST STK32A,54,9,16.666666666666668
19,InN LAMP5 BMP7,42,7,16.666666666666668
