Cell_Type,MCS,Top_50_Markers
Endo CLDN5 SLC7A5,0.6654030180345969,"ENSG00000289901, CALM1, MAP1B, SNAP25, NRGN, SYT1, TUBA1B, CALM3, CHN1, FTH1, CALM2, CAMK2N1, ENSG00000289474, MAP2, CAMK2A, GAPDH, SPARCL1, VSNL1, OLFM1, IDS, STMN2, GNAS, PEBP1, NEFL, MAP1A, TMSB10, CST3, HSP90AA1, LMO4, YWHAG, ACTB, HSP90AB1, PRKCB, CLU, THY1, SNHG14, NORAD, YWHAH, ARPP19, YWHAB, VAMP2, CCK, CCNI, FTL, BASP1, CKB, STMN1, ENC1, GAP43, RTN3"
Oligo MOG OPALIN,0.8274025974025975,"CTNNA3, IL1RAPL1, PCDH9, QKI, FRMD4B, ST18, SLC44A1, RNF220, PDE4B, PLEKHH1, PPP2R2B, TMEM144, FRMD5, SIK3, DOCK10, PLP1, PIP4K2A, EDIL3, MAP7, ELMO1, DOCK5, ENPP2, PDE8A, MAGI2, PHLPP1, SPOCK3, ZBTB20, SHTN1, SLC24A2, ZNF536, KCNH8, DLG2, MAN2A1, PXK, TMTC2, TRIM2, MBP, NCKAP5, DNM3, TTLL7, UNC5C, C10orf90, CLMN, SLAIN1, DLG1, ERBIN, POLR2F, TMEM165, CREB5, TCF12"
L2-3 CUX2 ACVR1C THSD7A,0.8250666666666666,"MALAT1, TALAM1, ENSG00000291133, SNAP25-AS1, GOLGA8B, MIR124-1HG, KCNIP4, DLGAP1-AS4, FAM153CP, ENSG00000233928, TARBP1, MAPK10-AS1, ENSG00000289731, CCPG1, CCDC144A, GOLGA8A, MLIP, MIR137HG, R3HDM1, ENSG00000258162, RAPH1, PDE5A, ENSG00000291203, C2CD5, C2CD5-AS1, NIN, ENSG00000257894, LINC00513, ENSG00000250243, ENSG00000248343, MIAT, LARP1B, LINC01122, CELF2, ANKRD36C, PCDH9-AS2, POLN, ANK2-AS1, STAT1, CSMD1, ANKRD36, FBXO34, PTPRR, BMPER, TMEM232, ENSG00000285582, LRRTM4, CDH18, STARD4-AS1, ENSG00000254787"
Astro AQP4 SLC1A2,0.7870833333333335,"ADGRV1, MALAT1, GPC5, MSI2, NTM, NEAT1, CTNNA2, PITPNC1, SLC1A2, SLC1A3, RORA, DTNA, NPAS3, LSAMP, MACF1, CDH20, NKAIN3, LINC00299, GPM6A, OBI1-AS1, WWOX, ATP1A2, ABLIM1, AHCYL2, ZBTB20, CTNND2, MMD2, ITPR2, MIR99AHG, TNIK, MIR9-1HG, ENSG00000286757, SORBS1, PREX2, GRAMD2B, SFXN5, KANK1, NHSL1, CAMK2G, SLC4A4, GABRB1, NEBL, RYR3, SOX5, ANKDD1A, DCLK2, PARD3, MGAT4C, NRXN1, NRG3"
Micro P2RY12 APBB1IP,0.6837209302325582,"LRMDA, PLXDC2, DOCK4, SRGAP2, SFMBT2, ARHGAP24, LDLRAD4, SYNDIG1, LINC01374, DLEU1, FRMD4A, EPB41L2, RASGEF1C, KCNQ3, PTPRJ, APBB1IP, DOCK8, FOXN3, MALAT1, CHST11, PICALM, MEF2A, CYFIP1, SLCO2B1, MAML2, ST6GAL1, SAT1, AOAH, RUNX1, DOCK2, SRGAP2B, ITPR2, ST6GALNAC3, BLNK, ANKRD44, ADAM28, FCHSD2, ZFHX3, SORL1, ELMO1, FYB1, ZSWIM6, MAML3, SLC9A9, ATP8B4, P2RY12, INPP5D, SLC1A3, DIAPH2, TBXAS1"
OPC PDGFRA PCDH15,0.8926315789473683,"DSCAM, LHFPL3, PTPRZ1, LRRC4C, KCNMB2, PCDH15, OPCML, DPP6, EPN2, XYLT1, LUZP2, AGAP1, VCAN, TNR, NTM, NLGN1, OPHN1, LINC00511, SOX6, CHST11, NXPH1, SEMA5A, SEZ6L, GRID2, DCC, CASK, DGKG, ASTN2, DAB1, LRP1B, SLC35F1, NOVA1, TMEM132C, CA10, ZBTB20, MAML2, KCNMB2-AS1, ENSG00000278254, MDGA2, CSMD3, ADGRL3, BRINP3, ZEB1, NAV1, LSAMP, CSMD1, ENSG00000225096, SNTG1, SPATA6, RORA"
InN VIP HS3ST3B1,0.8866666666666667,"MALAT1, DAB1, GRIP1, GRIK2, ROBO2, GAD1, TALAM1, KAZN, VWC2, RBMS3, GRIK1, REV3L, CNTNAP2, NRXN3, KIF26B, MEF2C-AS1, DLX6-AS1, GRIA1, THSD7A, SRRM3, PWRN1, ZNF536, SNHG14, SYNPR, AUTS2, NHS, EPHA6, RPS6KA2, ARL4C, CRLF3, ZNF385D, TIAM1, ENSG00000257894, ZNF608, FAR2, SRRM4, CRACD, SLC24A3, CDH9, AHI1, LINC00513, KCNIP1, DAPK1, LINC00342, SBF2, SPTBN4, ENSG00000288891, TENM1, FGF14, KCNMB2"
