Cluster_ID,Assigned_Cell_Type,Precision (%),Recall (%),F1_Score (%),Jaccard (%),True_Positive_Count,Predicted_Marker_Count,Reference_Marker_Count,Assigned_Cell_Type_2,Precision_2 (%),Recall_2 (%),F1_Score_2 (%),Jaccard_2 (%),True_Positive_Count_2,Predicted_Marker_Count_2,Reference_Marker_Count_2,Assigned_Cell_Type_3,Precision_3 (%),Recall_3 (%),F1_Score_3 (%),Jaccard_3 (%),True_Positive_Count_3,Predicted_Marker_Count_3,Reference_Marker_Count_3
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,10.0,38.46153846153847,15.873015873015872,8.620689655172415,5,50,13,Oligodendrocyte progenitor cells,10.0,17.857142857142858,12.820512820512823,6.8493150684931505,5,50,28,Oligodendrocyte progenitor cell,6.0,27.27272727272727,9.836065573770492,5.172413793103448,3,50,11
Endo CLDN5 SLC7A5,Excitatory neuron,8.0,22.22222222222222,11.76470588235294,6.25,4,50,18,Neuron,20.0,5.780346820809249,8.968609865470851,4.694835680751173,10,50,173,Pyramidal cells,6.0,8.571428571428571,7.0588235294117645,3.6585365853658534,3,50,35
Oligo MOG OPALIN,Oligodendrocytes,14.000000000000002,7.954545454545454,10.144927536231885,5.343511450381679,7,50,88,Oligodendrocyte,18.0,4.918032786885246,7.725321888412016,4.017857142857143,9,50,183,Mature oligodendrocyte,4.0,40.0,7.2727272727272725,3.7735849056603774,2,50,5
Astro AQP4 SLC1A2,Astrocyte,22.0,5.263157894736842,8.494208494208493,4.435483870967742,11,50,209,Bergmann glia,6.0,7.317073170731707,6.593406593406592,3.4090909090909087,3,50,41,Astrocytes,6.0,4.761904761904762,5.309734513274336,2.727272727272727,3,50,63
Micro P2RY12 APBB1IP,Microglia,10.0,7.042253521126761,8.264462809917356,4.310344827586207,5,50,71,Lake et al.science.ex8,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59,Satellite glial cells,4.0,8.333333333333332,5.405405405405405,2.7777777777777777,2,50,24
InN VIP HS3ST3B1,Purkinje neurons,8.0,6.779661016949152,7.339449541284404,3.8095238095238098,4,50,59,Pyramidal cells,4.0,5.714285714285714,4.7058823529411775,2.4096385542168677,2,50,35,Bergmann glia,4.0,4.878048780487805,4.395604395604397,2.247191011235955,2,50,41
L2-3 CUX2 ACVR1C THSD7A,T helper 1(th1) cell,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4,Purkinje neurons,2.0,1.694915254237288,1.834862385321101,0.9259259259259258,1,50,59,Neurons,2.0,0.49261083743842365,0.7905138339920948,0.3968253968253968,1,50,203
