Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
OPC PDGFRA PCDH15,38,37,97.36842105263158
Oligo MOG OPALIN,154,139,90.25974025974025
Endo CLDN5 SLC7A5,2717,1787,65.77107103422892
Micro P2RY12 APBB1IP,43,28,65.11627906976744
Astro AQP4 SLC1A2,48,17,35.416666666666664
L2-3 CUX2 ACVR1C THSD7A,75,24,32.0
InN VIP HS3ST3B1,27,3,11.11111111111111
