Cell_Type,MCS
Endo CLDN5 SLC7A5,0.7602889927751805
Oligo MOG OPALIN,0.8557766990291262
Astro AQP4 SLC1A2,0.7008695652173913
Micro P2RY12 APBB1IP,0.8161904761904764
L2-3 CUX2 ACVR1C THSD7A,0.9364625850340136
L3-5 RORB MKX GRIN3A,0.8695890410958904
InN SST FREM1,0.9
OPC PDGFRA PCDH15,0.7184615384615384
PC P2RY14 GRM8,0.713258426966292
L6 OPRK1 THEMIS RGS6,0.9140845070422536
InN PVALB HPSE,0.9558064516129032
InN VIP HS3ST3B1,0.920377358490566
L6 FEZF2 NPFFR2 KCNK2,0.9740425531914895
L3-5 RORB GABRG1 KCNH7,0.9490909090909091
InN LAMP5 BMP7,0.9473170731707318
L3-5 RORB PCBP3 IL1RAPL2,0.9821052631578948
L5-6 FEZF2 NXPH2 GRIK1,0.9494117647058823
