Cluster_ID,Assigned_Cell_Type,Precision (%),Recall (%),F1_Score (%),Jaccard (%),True_Positive_Count,Predicted_Marker_Count,Reference_Marker_Count,Assigned_Cell_Type_2,Precision_2 (%),Recall_2 (%),F1_Score_2 (%),Jaccard_2 (%),True_Positive_Count_2,Predicted_Marker_Count_2,Reference_Marker_Count_2,Assigned_Cell_Type_3,Precision_3 (%),Recall_3 (%),F1_Score_3 (%),Jaccard_3 (%),True_Positive_Count_3,Predicted_Marker_Count_3,Reference_Marker_Count_3
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,14.000000000000002,53.84615384615385,22.22222222222222,12.5,7,50,13,Oligodendrocyte progenitor cells,12.0,21.428571428571427,15.384615384615383,8.333333333333332,6,50,28,Oligodendrocyte progenitor cell,8.0,36.36363636363637,13.114754098360654,7.017543859649122,4,50,11
L6 FEZF2 NPFFR2 KCNK2,Lake et al.science.ex6,14.000000000000002,20.588235294117645,16.666666666666664,9.090909090909092,7,50,34,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5,Lake et al.science.in3,2.0,7.6923076923076925,3.1746031746031753,1.6129032258064515,1,50,13
L5-6 FEZF2 NXPH2 GRIK1,Lake et al.science.ex6,14.000000000000002,20.588235294117645,16.666666666666664,9.090909090909092,7,50,34,Epithelial cell,2.0,33.33333333333333,3.7735849056603774,1.9230769230769231,1,50,3,Glutamatergic neuron,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4
Endo CLDN5 SLC7A5,Excitatory neuron,8.0,22.22222222222222,11.76470588235294,6.25,4,50,18,Pyramidal cells,8.0,11.428571428571429,9.411764705882355,4.938271604938271,4,50,35,Neuron,20.0,5.780346820809249,8.968609865470851,4.694835680751173,10,50,173
Oligo MOG OPALIN,Oligodendrocytes,16.0,9.090909090909092,11.594202898550725,6.153846153846154,8,50,88,Oligodendrocyte,22.0,6.0109289617486334,9.44206008583691,4.954954954954955,11,50,183,Mature oligodendrocyte,4.0,40.0,7.2727272727272725,3.7735849056603774,2,50,5
Micro P2RY12 APBB1IP,Microglia,12.0,8.450704225352112,9.917355371900827,5.217391304347826,6,50,71,Microglial-specific cell,4.0,100.0,7.6923076923076925,4.0,2,50,2,Homeostatic microglial cell,4.0,33.33333333333333,7.142857142857142,3.7037037037037033,2,50,6
InN SST FREM1,Purkinje neurons,10.0,8.47457627118644,9.174311926605505,4.807692307692308,5,50,59,Oligodendrocyte precursor cell,4.0,15.384615384615385,6.349206349206351,3.278688524590164,2,50,13,Neuron,12.0,3.4682080924855487,5.381165919282512,2.7649769585253456,6,50,173
PC P2RY14 GRM8,Pericyte,6.0,15.789473684210526,8.695652173913043,4.545454545454546,3,50,19,Endothelial cell,6.0,10.714285714285714,7.692307692307692,4.0,3,50,28,Mural cell,4.0,28.57142857142857,7.017543859649124,3.6363636363636362,2,50,7
L3-5 RORB MKX GRIN3A,Cajal-retzius cells,10.0,6.41025641025641,7.8125,4.0650406504065035,5,50,78,Somatostatin interneuron,4.0,40.0,7.2727272727272725,3.7735849056603774,2,50,5,Lake et al.science.in5,2.0,14.285714285714285,3.508771929824562,1.7857142857142856,1,50,7
InN PVALB HPSE,Parvalbumin interneuron,4.0,50.0,7.4074074074074066,3.8461538461538463,2,50,4,Lake et al.science.ex6,6.0,8.823529411764707,7.1428571428571415,3.7037037037037033,3,50,34,Purkinje neurons,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59
InN VIP HS3ST3B1,Purkinje neurons,8.0,6.779661016949152,7.339449541284404,3.8095238095238098,4,50,59,Neuroblasts,6.0,6.0,6.0,3.0927835051546393,3,50,50,Lake et al.science.ex8,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59
InN LAMP5 BMP7,Lake et al.science.in4,4.0,33.33333333333333,7.142857142857142,3.7037037037037033,2,50,6,Bergmann glia,6.0,7.317073170731707,6.593406593406592,3.4090909090909087,3,50,41,Gabaergic neurons,4.0,13.333333333333334,6.153846153846153,3.1746031746031744,2,50,15
Astro AQP4 SLC1A2,Astrocyte,18.0,4.30622009569378,6.94980694980695,3.5999999999999996,9,50,209,Stem cell,4.0,8.695652173913043,5.47945205479452,2.8169014084507045,2,50,23,Satellite glial cells,4.0,8.333333333333332,5.405405405405405,2.7777777777777777,2,50,24
L6 OPRK1 THEMIS RGS6,Retinal ganglion cells,6.0,4.3478260869565215,5.042016806722689,2.586206896551724,3,50,69,Neuron,10.0,2.8901734104046244,4.484304932735426,2.293577981651376,5,50,173,Lake et al.science.ex8,4.0,3.389830508474576,3.669724770642202,1.8691588785046727,2,50,59
L2-3 CUX2 ACVR1C THSD7A,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5,Neurons,8.0,1.9704433497536946,3.1620553359683794,1.6064257028112447,4,50,203,Cajal-retzius cells,4.0,2.564102564102564,3.125,1.5873015873015872,2,50,78
L3-5 RORB GABRG1 KCNH7,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5,Lake et al.science.in5,2.0,14.285714285714285,3.508771929824562,1.7857142857142856,1,50,7,Lake et al.science.ex5,2.0,11.11111111111111,3.389830508474577,1.7241379310344827,1,50,9
L3-5 RORB PCBP3 IL1RAPL2,Retinal ganglion cells,4.0,2.898550724637681,3.361344537815126,1.7094017094017095,2,50,69,Lake et al.science.ex4,2.0,7.6923076923076925,3.1746031746031753,1.6129032258064515,1,50,13,Neuroendocrine cells,2.0,3.7037037037037033,2.5974025974025974,1.3157894736842104,1,50,27
