Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
Oligo MOG OPALIN,412,378,91.74757281553399
Micro P2RY12 APBB1IP,168,143,85.11904761904762
OPC PDGFRA PCDH15,104,82,78.84615384615384
L6 OPRK1 THEMIS RGS6,71,54,76.05633802816901
Endo CLDN5 SLC7A5,2353,1786,75.90310242243945
PC P2RY14 GRM8,89,60,67.41573033707866
Astro AQP4 SLC1A2,184,94,51.08695652173913
L3-5 RORB MKX GRIN3A,146,63,43.15068493150685
InN LAMP5 BMP7,41,17,41.46341463414634
L3-5 RORB PCBP3 IL1RAPL2,19,7,36.8421052631579
L3-5 RORB GABRG1 KCNH7,44,16,36.36363636363637
InN PVALB HPSE,62,22,35.483870967741936
L5-6 FEZF2 NXPH2 GRIK1,17,6,35.294117647058826
L2-3 CUX2 ACVR1C THSD7A,147,51,34.69387755102041
L6 FEZF2 NPFFR2 KCNK2,47,14,29.78723404255319
InN SST FREM1,113,24,21.238938053097346
InN VIP HS3ST3B1,53,7,13.20754716981132
