Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
CD4.Tfh,1,1,100.0
gdT,1,1,100.0
B_malignant,2,1,50.0
HSC_CD38pos,36,12,33.333333333333336
NKT,98,32,32.6530612244898
CD8.Prolif,207,62,29.95169082125604
DC3,229,66,28.820960698689955
CD8.Naive,95,27,28.42105263157895
Treg,153,40,26.143790849673202
CD4.CM,4,1,25.0
CD4.EM,5,1,20.0
