Cell_Type,MCS
DC3,0.7915283842794761
CD8.Prolif,0.7988405797101449
Treg,0.8930718954248366
NKT,0.9112244897959184
CD8.Naive,0.9541052631578948
HSC_CD38pos,0.8033333333333331
CD4.EM,0.996
CD4.CM,1.0
B_malignant,1.0
